seed,Vth,OffCurrent,OnCurrent,OnOffRatio,Weff
1,0.397757,8.3284e-13,2.39166e-05,28717000.0,40
2,0.383401,1.31797e-12,2.39722e-05,18188700.0,40
3,0.385284,1.38108e-12,2.37961e-05,17230100.0,40
4,0.392774,9.10492e-13,2.39584e-05,26313700.0,40
5,0.3783,1.59971e-12,2.40381e-05,15026500.0,40
6,0.383907,1.24791e-12,2.38664e-05,19125000.0,40
7,0.391581,1.02497e-12,2.37591e-05,23180200.0,40
8,0.390026,9.43603e-13,2.37136e-05,25130900.0,40
9,0.392536,8.95479e-13,2.39188e-05,26710600.0,40
10,0.384722,1.44833e-12,2.3736e-05,16388500.0,40
11,0.386784,1.19338e-12,2.38489e-05,19984300.0,40
12,0.384712,1.58401e-12,2.4002e-05,15152700.0,40
13,0.384659,1.44516e-12,2.38326e-05,16491300.0,40
14,0.382427,1.60403e-12,2.37594e-05,14812300.0,40
15,0.396408,9.6763e-13,2.37941e-05,24590000.0,40
16,0.388282,1.26735e-12,2.39996e-05,18936800.0,40
17,0.39444,9.7607e-13,2.38781e-05,24463500.0,40
18,0.393525,1.35588e-12,2.36349e-05,17431400.0,40
19,0.382062,1.30914e-12,2.41091e-05,18416000.0,40
20,0.381068,1.82424e-12,2.38286e-05,13062200.0,40
21,0.377724,1.82985e-12,2.39603e-05,13094200.0,40
22,0.384932,1.48746e-12,2.39634e-05,16110300.0,40
23,0.387157,1.26339e-12,2.3817e-05,18851700.0,40
24,0.379858,1.50159e-12,2.39806e-05,15970100.0,40
25,0.385275,1.49426e-12,2.38428e-05,15956300.0,40
26,0.39349,9.86534e-13,2.37062e-05,24029800.0,40
27,0.392249,1.11661e-12,2.3799e-05,21313700.0,40
28,0.369614,2.36194e-12,2.40417e-05,10178800.0,40
29,0.400207,8.73723e-13,2.38742e-05,27324600.0,40
30,0.389744,1.06662e-12,2.38557e-05,22365700.0,40
31,0.400448,7.39459e-13,2.36016e-05,31917400.0,40
32,0.374923,1.86078e-12,2.4101e-05,12952100.0,40
33,0.375058,2.0145e-12,2.39897e-05,11908500.0,40
34,0.395525,1.1231e-12,2.37247e-05,21124400.0,40
35,0.386512,1.25319e-12,2.3749e-05,18950800.0,40
36,0.376998,1.64483e-12,2.38653e-05,14509300.0,40
37,0.392458,9.86959e-13,2.3775e-05,24089100.0,40
38,0.387592,1.22621e-12,2.38762e-05,19471600.0,40
39,0.390745,9.39591e-13,2.37082e-05,25232500.0,40
40,0.385365,1.20137e-12,2.39257e-05,19915300.0,40
41,0.383003,1.33124e-12,2.38331e-05,17903000.0,40
42,0.401341,7.69111e-13,2.3654e-05,30754900.0,40
43,0.379557,1.88943e-12,2.3813e-05,12603300.0,40
44,0.386665,1.20892e-12,2.37673e-05,19659900.0,40
45,0.398506,7.62617e-13,2.38431e-05,31264800.0,40
46,0.385197,1.45591e-12,2.37275e-05,16297400.0,40
47,0.383104,1.24942e-12,2.39119e-05,19138500.0,40
48,0.387283,1.35824e-12,2.3883e-05,17583700.0,40
49,0.397422,8.79177e-13,2.35355e-05,26769900.0,40
50,0.384777,1.30712e-12,2.37902e-05,18200500.0,40
51,0.404634,7.00436e-13,2.36776e-05,33804100.0,40
52,0.387534,1.38392e-12,2.38277e-05,17217500.0,40
53,0.38447,1.36739e-12,2.39635e-05,17525000.0,40
54,0.383319,1.44096e-12,2.40219e-05,16670800.0,40
55,0.376963,1.46837e-12,2.40215e-05,16359300.0,40
56,0.396722,8.08512e-13,2.39733e-05,29651100.0,40
57,0.385483,1.22822e-12,2.40336e-05,19567800.0,40
58,0.395276,8.38899e-13,2.37997e-05,28370100.0,40
59,0.396415,7.78395e-13,2.37113e-05,30461800.0,40
60,0.393076,1.05309e-12,2.38681e-05,22664800.0,40
61,0.399681,7.55256e-13,2.37808e-05,31487000.0,40
62,0.393998,9.10912e-13,2.37985e-05,26126000.0,40
63,0.393221,9.99009e-13,2.38018e-05,23825400.0,40
64,0.388447,1.16618e-12,2.38711e-05,20469500.0,40
65,0.382871,1.25561e-12,2.39999e-05,19114100.0,40
66,0.386563,1.39806e-12,2.39982e-05,17165400.0,40
67,0.377695,1.74879e-12,2.39602e-05,13701000.0,40
68,0.384445,1.36465e-12,2.40522e-05,17625200.0,40
69,0.375947,1.78139e-12,2.40007e-05,13473100.0,40
70,0.390073,1.19877e-12,2.367e-05,19745200.0,40
71,0.386558,1.18684e-12,2.39707e-05,20197100.0,40
72,0.395887,1.05508e-12,2.37874e-05,22545700.0,40
73,0.394099,8.85231e-13,2.39753e-05,27083700.0,40
74,0.377446,1.76079e-12,2.38987e-05,13572700.0,40
75,0.374818,1.9169e-12,2.38695e-05,12452100.0,40
76,0.386661,1.34575e-12,2.38056e-05,17689500.0,40
77,0.388135,1.43141e-12,2.39719e-05,16747100.0,40
78,0.392005,1.00565e-12,2.38949e-05,23760700.0,40
79,0.387964,1.24665e-12,2.38274e-05,19113200.0,40
80,0.393772,8.96792e-13,2.38928e-05,26642500.0,40
81,0.396877,6.86616e-13,2.37306e-05,34561700.0,40
82,0.384264,1.40597e-12,2.37071e-05,16861700.0,40
83,0.39864,8.0191e-13,2.3929e-05,29840000.0,40
84,0.37778,1.80924e-12,2.40302e-05,13282000.0,40
85,0.386346,1.22976e-12,2.39514e-05,19476400.0,40
86,0.392161,9.98063e-13,2.37387e-05,23784700.0,40
87,0.377021,1.76382e-12,2.40126e-05,13614000.0,40
88,0.388366,1.13334e-12,2.37688e-05,20972400.0,40
89,0.380907,1.41291e-12,2.39989e-05,16985500.0,40
90,0.382126,1.47143e-12,2.39118e-05,16250700.0,40
91,0.389194,1.02349e-12,2.38279e-05,23280900.0,40
92,0.397524,7.66103e-13,2.36169e-05,30827200.0,40
93,0.387804,1.414e-12,2.37794e-05,16817100.0,40
94,0.392868,9.37559e-13,2.36447e-05,25219400.0,40
95,0.390326,1.11548e-12,2.3673e-05,21222200.0,40
96,0.387252,1.18529e-12,2.38809e-05,20147700.0,40
97,0.40858,5.58008e-13,2.35636e-05,42228000.0,40
98,0.396616,9.16832e-13,2.36622e-05,25808600.0,40
99,0.382281,1.42109e-12,2.40174e-05,16900800.0,40
100,0.386692,1.32475e-12,2.37174e-05,17903300.0,40
101,0.38198,1.50454e-12,2.39562e-05,15922700.0,40
102,0.393321,9.26255e-13,2.36012e-05,25480300.0,40
103,0.38925,1.0883e-12,2.38045e-05,21873100.0,40
104,0.393146,8.60069e-13,2.37873e-05,27657400.0,40
105,0.38139,1.60727e-12,2.39993e-05,14931700.0,40
106,0.388082,1.18977e-12,2.39056e-05,20092700.0,40
107,0.393982,9.98989e-13,2.397e-05,23994200.0,40
108,0.402408,6.36119e-13,2.37206e-05,37289600.0,40
109,0.393373,1.25639e-12,2.39063e-05,19027800.0,40
110,0.397535,7.47252e-13,2.36315e-05,31624500.0,40
111,0.402929,6.56583e-13,2.35187e-05,35819900.0,40
112,0.39745,9.35383e-13,2.36099e-05,25240800.0,40
113,0.394216,9.1809e-13,2.35256e-05,25624500.0,40
114,0.37751,1.67387e-12,2.36773e-05,14145200.0,40
115,0.399042,7.47786e-13,2.38943e-05,31953500.0,40
116,0.390293,1.12654e-12,2.37567e-05,21088100.0,40
117,0.387142,1.40085e-12,2.38114e-05,16997800.0,40
118,0.386855,1.17632e-12,2.40084e-05,20409900.0,40
119,0.379354,1.8861e-12,2.37581e-05,12596400.0,40
120,0.393183,9.97116e-13,2.38598e-05,23928800.0,40
121,0.373529,2.13022e-12,2.39655e-05,11250300.0,40
122,0.396719,9.32318e-13,2.38131e-05,25541800.0,40
123,0.38751,1.25022e-12,2.37467e-05,18994000.0,40
124,0.376556,2.0031e-12,2.3947e-05,11955000.0,40
125,0.403404,7.06118e-13,2.37149e-05,33584800.0,40
126,0.374788,1.89066e-12,2.39655e-05,12675800.0,40
127,0.379916,1.50611e-12,2.39505e-05,15902200.0,40
128,0.390613,1.11553e-12,2.36517e-05,21202200.0,40
129,0.389592,1.03912e-12,2.36817e-05,22790100.0,40
130,0.385154,1.45042e-12,2.40336e-05,16570100.0,40
131,0.380449,1.57902e-12,2.39782e-05,15185500.0,40
132,0.380877,1.52197e-12,2.40214e-05,15783100.0,40
133,0.388784,1.59832e-12,2.37374e-05,14851500.0,40
134,0.390708,9.69256e-13,2.37806e-05,24534900.0,40
135,0.377716,1.88522e-12,2.39417e-05,12699600.0,40
136,0.3956,7.35644e-13,2.37532e-05,32289000.0,40
