sde,sdevice,svisual,
sde,sdevice,svisual,
,seed,,Vth,OffCurrent,OnCurrent,OnOffRatio,
,1,,0.327673,5.07456e-11,2.93240e-05,5.77863e+05,
,2,,0.332952,4.51015e-11,2.92645e-05,6.48858e+05,
,3,,0.331353,4.58552e-11,2.92263e-05,6.37360e+05,
,4,,0.341347,4.15202e-11,2.92527e-05,7.04543e+05,
,5,,0.337196,3.53084e-11,2.91368e-05,8.25210e+05,
,6,,0.333367,4.63951e-11,2.92191e-05,6.29789e+05,
,7,,0.335500,4.05741e-11,2.92494e-05,7.20890e+05,
,8,,0.334118,4.28306e-11,2.92836e-05,6.83709e+05,
,9,,0.339352,3.76749e-11,2.91796e-05,7.74512e+05,
,10,,0.341248,3.26875e-11,2.91334e-05,8.91270e+05,
,11,,0.334723,4.26959e-11,2.92246e-05,6.84483e+05,
,12,,0.345300,2.78996e-11,2.90568e-05,1.04148e+06,
,13,,0.345899,3.16803e-11,2.91274e-05,9.19417e+05,
,14,,0.343110,2.58829e-11,2.90913e-05,1.12396e+06,
,15,,0.334666,4.04521e-11,2.92246e-05,7.22450e+05,
,16,,0.330596,4.23122e-11,2.92175e-05,6.90522e+05,
,17,,0.344400,2.72070e-11,2.90658e-05,1.06832e+06,
,18,,0.332564,4.25085e-11,2.92566e-05,6.88253e+05,
,19,,0.330887,4.28470e-11,2.92865e-05,6.83514e+05,
,20,,0.336165,3.70205e-11,2.92382e-05,7.89783e+05,
,21,,0.321873,5.54886e-11,2.93340e-05,5.28648e+05,
,22,,0.326070,6.02968e-11,2.93876e-05,4.87383e+05,
,23,,0.325702,4.93281e-11,2.93849e-05,5.95702e+05,
,24,,0.333710,5.08819e-11,2.92956e-05,5.75756e+05,
,25,,0.335396,3.69021e-11,2.91876e-05,7.90946e+05,
,26,,0.344520,2.84348e-11,2.90477e-05,1.02155e+06,
,27,,0.350663,2.20792e-11,2.89817e-05,1.31262e+06,
,28,,0.350003,2.29698e-11,2.90333e-05,1.26397e+06,
,29,,0.329193,6.05936e-11,2.93212e-05,4.83899e+05,
,30,,0.350655,2.72148e-11,2.90502e-05,1.06744e+06,
